English,Turkish
the,.
and,ve
have,Sahip olmak
that,o
for,için
you,sen
with,ile birlikte
say,söylemek
this,Bu
they,onlar
but,ancak
his,onun
from,itibaren
not,olumsuzluk
she,o
as,olarak
what,ne
their,onların
can,Yapabilmek
who,kim
get,almak
would,istemek
her,o
all,o
make,Yapmak
about,hakkında
know,bilmek
will,niyet
one,bir
time,zaman
there,orada
year,yıl
think,düşünmek
when,ne zaman
which,Hangi
them,onlara
some,bazı
people,insanlar
take,almak
out,dışarı
into,içine
just,sadece
see,görmek
him,o
your,senin
come,gelmek
could,abilir
now,şimdi
than,hariç
like,beğenmek
other,başka
how,nasıl
then,sonra
its,onun
our,bizim
two,iki
more,daha fazla
these,bunlar
want,istek
way,yol
look,bakmak
first,ilk
also,ayrıca
new,yeni
because,çünkü
day,gün
use,kullanmak
man,adam
find,bulmak
here,burada
thing,şey
give,vermek
many,birçok
well,kuyu
only,sadece
those,şunlar
tell,söylemek
very,çok
even,Bile
back,geri
any,hiç
good,iyi
woman,Kadın
through,vasıtasıyla
life,hayat
child,çocuk
work,iş
down,aşağı
may,Mayıs
after,sonrasında
should,meli
call,aramak
world,dünya
over,üzerinde
school,okul
still,hâlâ
try,denemek
last,geçen
ask,sormak
need,ihtiyaç
too,fazla
feel,hissetmek
three,üç
state,durum
never,asla
become,olmak
between,arasında
high,yüksek
really,Gerçekten
something,bir şey
most,çoğu
another,bir diğer
much,fazla
family,aile
own,sahip olmak
leave,ayrılmak
put,koy
old,eskimiş
while,süre
mean,kastetmek
keep,Tut
student,Öğrenci
why,Niye
let,İzin Vermek
great,İyi
same,aynı
big,büyük
group,grup
begin,başlamak
seem,gözükmek
country,ülke
help,Yardım Edin
talk,konuşmak
where,nerede
turn,dönüş
problem,sorun
every,her
start,Başlat
hand,el
might,Might
American,Amerikan
show,göstermek
part,Bölüm
against,karşı
place,yer
such,çok
again,Yeniden
few,az
case,dava
week,hafta
company,şirket
system,sistem
each,her biri
right,Sağ
program,program
hear,duymak
question,soru
during,sırasında
play,Oyna
government,devlet
run,koşmak
small,küçük
number,sayı
off,kapalı
always,Her zaman
move,hareket
night,gece
live,canlı
Mr,Bay
point,puan
believe,inanmak
hold,tutmak
today,bugün
bring,getirmek
happen,olmak
next,sonraki
without,olmadan
before,önceki
large,büyük
million,milyon
must,zorunlu
home,ev
under,altında
water,su
room,oda
write,yazmak
mother,anne
area,alan
national,Ulusal
money,para
story,Öykü
young,genç
fact,hakikat
month,ay
different,farklı
lot,pay
study,ders çalışma
book,kitap
eye,göz
job,Görev
word,kelime
though,Yine de
business,işletme
issue,sorun
side,yan
kind,tür
four,dört
head,kafa
far,uzak
black,siyah
long,uzun
both,ikisi birden
little,biraz
house,ev
yes,evet
since,dan beri
provide,sağlamak
service,hizmet
around,etrafında
friend,arkadaş
important,önemli
father,baba
sit,oturmak
away,uzak
until,a kadar
power,güç
hour,saat
game,oyun
often,sıklıkla
yet,henüz
line,astar
political,siyasi
end,son
among,arasında
ever,durmadan
stand,durmak
bad,kötü
lose,kaybetmek
however,fakat
member,üye
pay,ödemek
law,yasa
meet,tanışmak
car,araba
city,Kent
almost,hemen hemen
include,Dahil etmek
continue,devam et
set,Ayarlamak
later,sonra
community,toplum
name,isim
five,beş
once,bir Zamanlar
white,beyaz
least,en az
president,Devlet Başkanı
learn,öğrenmek
real,gerçek
change,değiştirmek
team,takım
minute,dakika
best,en iyi
several,birçok
idea,fikir
kid,çocuk
body,gövde
information,bilgi
nothing,hiç bir şey
ago,evvel
lead,öncülük etmek
social,sosyal
understand,anlamak
whether,ikisinden biri
watch,izlemek
together,bir arada
follow,takip et
parent,ebeveyn
stop,Dur
face,yüz
anything,herhangi bir şey
create,oluşturmak
public,halka açık
already,çoktan
speak,konuşmak
others,diğerleri
read,okuman
level,seviyesi
allow,izin vermek
add,Ekle
office,ofis
spend,harcamak
door,kapı
health,sağlık
person,kişi
art,Sanat
sure,Elbette
war,savaş
history,Tarih
party,Parti
within,içinde
grow,büyümek
result,sonuç
open,açık
morning,sabah
walk,yürümek
reason,sebep
low,düşük
win,kazanç
research,Araştırma
girl,kız
guy,insan
early,erken
food,Gıda
moment,an
himself,kendisi
air,hava
teacher,öğretmen
force,Kuvvet
offer,teklif
enough,yeterli
education,Eğitim
across,karşısında
although,olmasına rağmen
remember,hatırlamak
foot,ayak
second,ikinci
boy,oğlan
maybe,belki
toward,karşı
able,hünerli
age,yaş
policy,politika
everything,her şey
love,aşk
process,işlem
music,müzik
including,içermek
consider,düşünmek
appear,belli olmak
actually,aslında
buy,satın almak
probably,muhtemelen
human,insan
wait,Bekle
serve,servis
market,pazar
die,ölmek
send,göndermek
expect,beklemek
sense,algı
build,inşa etmek
stay,kalmak
fall,sonbahar
oh,ah
nation,ulus
plan,plan
cut,kesmek
college,kolej
interest,faiz
death,ölüm
course,kurs
someone,birisi
experience,deneyim
behind,arka
reach,ulaşmak
local,yerel
kill,öldürmek
six,altı
remain,kalmak
effect,Efekt
yeah,Evet
suggest,önermek
class,sınıf
control,kontrol
raise,artırmak
care,bakım
perhaps,belki
late,geç
hard,sert
field,alan
else,başka
pass,geçmek
former,önceki
sell,satmak
major,ana
sometimes,Bazen
require,gerekmek
along,boyunca
development,gelişim
themselves,kendileri
report,bildiri
role,rol
better,daha iyi
economic,ekonomik
effort,çaba göstermek
decide,karar ver
rate,oran
strong,kuvvetli
possible,mümkün
heart,kalp
drug,uyuşturucu
leader,Önder
light,ışık
voice,ses
wife,kadın eş
whole,tüm
police,polis
mind,zihin
finally,en sonunda
pull,çekmek
return,dönüş
free,Bedava
military,askeri
price,fiyat
less,az
according,binaen
decision,karar
explain,açıklamak
son,oğul
hope,Ümit etmek
develop,geliştirmek
view,görüş
relationship,ilişki
carry,taşımak
town,şehir
road,yol
drive,sürmek
arm,kol
TRUE,DOĞRU
federal,federal
break,kırmak
difference,fark
thank,teşekkür
receive,almak
value,değer
international,Uluslararası
building,bina
action,eylem
full,tam dolu
model,model
join,katılmak
season,mevsim
society,toplum
tax,vergi
director,müdür
position,durum
player,oyuncu
agree,Katılıyorum
especially,özellikle
record,kayıt
pick,seçmek
wear,giymek
paper,kağıt
special,özel
space,Uzay
ground,zemin
form,biçim
support,destek
event,Etkinlik
official,resmi
whose,kimin
matter,Önemli olmak
everyone,herkes
center,merkez
couple,çift
site,alan
project,proje
hit,vurmak
base,temel
activity,aktivite
star,yıldız
table,masa
court,mahkeme
produce,üretmek
eat,yemek
teach,öğretmek
oil,sıvı yağ
half,yarım
situation,durum
easy,kolay
cost,maliyet
industry,sanayi
figure,figür
street,sokak
image,imaj
itself,kendisi
phone,telefon
either,herhangi biri
data,veri
cover,örtmek
quite,epeyce
picture,resim
clear,açık
practice,uygulama
piece,adet
land,kara
recent,son
describe,betimlemek
product,ürün
doctor,doktor
wall,duvar
patient,hasta
worker,çalışan
news,haberler
test,Ölçek
movie,film
certain,belirli
north,kuzey
personal,kişiye özel
simply,basitçe
third,üçüncü
technology,teknoloji
catch,tutmak
step,adım
baby,bebek
computer,bilgisayar
type,tip
attention,dikkat
draw,Berabere
film,film
Republican,Cumhuriyetçi
tree,ağaç
source,kaynak
red,kırmızı
nearly,az kalsın
organization,organizasyon
choose,Seç
cause,neden
hair,saç
century,yüzyıl
evidence,kanıt
window,pencere
difficult,zor
listen,dinlemek
soon,yakında
culture,kültür
billion,milyar
chance,şans
brother,Erkek kardeş
energy,enerji
period,dönem
summer,yaz
realize,fark etmek
hundred,yüz
available,mevcut
plant,bitki
likely,büyük ihtimalle
opportunity,fırsat
term,terim
short,kısa
letter,mektup
condition,şart
choice,seçim
single,bekar
rule,kural
daughter,kız evlat
administration,yönetim
south,güney
husband,erkek eş
Congress,Kongre
floor,zemin
campaign,kampanya
material,malzeme
population,nüfus
economy,ekonomi
medical,tıbbi
hospital,hastane
church,kilise
close,kapat
thousand,bin
risk,risk
current,akım
fire,ateş
future,gelecek
wrong,yanlış
involve,içermek
defense,savunma
anyone,herhangi biri
increase,arttırmak
security,güvenlik
bank,banka
myself,kendim
certainly,kesinlikle
west,Batı
sport,spor
board,yazı tahtası
seek,aramak
per,başına
subject,ders
officer,subay
private,özel
rest,dinlenme
behavior,davranış
deal,anlaştık mı
performance,verim
fight,kavga
throw,atmak
top,tepe
quickly,hızlı bir şekilde
past,geçmiş
goal,hedef
bed,yatak
order,emir
author,yazar
fill,doldurmak
represent,temsil etmek
focus,odak
foreign,yabancı
drop,düşürmek
blood,kan
upon,üzerine
agency,Ajans
push,itmek
nature,doğa
color,renk
recently,Geçenlerde
store,mağaza
reduce,azaltmak
sound,ses
note,Not
fine,iyi
near,yakın
movement,hareket
page,sayfa
enter,girmek
share,Paylaş
common,yaygın
poor,yoksul
natural,doğal
race,yarış
concern,ilgilendirmek
series,diziler
significant,önemli
similar,benzer
hot,sıcak
language,dil
usually,genellikle
response,tepki
dead,ölü
rise,yükselmek
animal,hayvan
factor,faktör
decade,on yıl
article,makale
shoot,film çekmek
east,doğu
save,kaydetmek
seven,Yedi
artist,sanatçı
scene,faliyet alani, sahne
stock,stok, mevcut
career,kariyer
despite,aksine
central,merkezi
eight,sekiz
thus,böylece
treatment,tedavi
beyond,öte
happy,mutlu
exactly,kesinlikle
protect,korumak
approach,yaklaşmak
lie,Yalan
size,boyut
dog,köpek
fund,fon, sermaye
serious,ciddi
occur,meydana gelmek
media,medya
ready,hazır
sign,işaret
thought,düşünce
list,liste
individual,bireysel
simple,basit
quality,kalite
pressure,baskı yapmak
accept,kabul
answer,Cevap
resource,kaynak
identify,tanımlamak
left,ayrıldı
meeting,toplantı
determine,belirlemek
prepare,HAZIRLAMA
disease,hastalık
whatever,her neyse
success,başarı
argue,tartışmak
cup,Fincan
particularly,özellikle
amount,tutar
ability,kabiliyet
staff,Personel
recognize,tanımak
indicate,belirtmek
character,karakter
growth,büyüme
loss,kayıp
degree,derece
wonder,merak etmek
attack,saldırı
herself,kendini
region,bölge
television,televizyon
box,kutu
TV,televizyon
training,eğitim
pretty,tatlı
trade,Ticaret
election,seçim
everybody,herkes
physical,fiziksel
lay,sermek
general,genel
feeling,his
standard,standart
bill,fatura
message,İleti
fail,başarısız
outside,dışarıda
arrive,varmak
analysis,analiz
benefit,fayda
sex,seks
forward,ileri
lawyer,avukat
present,Sunmak
section,bölüm
environmental,çevre
glass,bardak
skill,beceri
sister,kardeş
PM,ÖĞLEDEN SONRA
professor,profesör
operation,operasyon
financial,parasal
crime,suç
stage,sahne
ok,tamam
compare,karşılaştırmak
authority,yetki
miss,Özlemek
design,tasarım
sort,çeşit
act,davranmak
ten,on
knowledge,bilgi
gun,silah
station,istasyon
blue,mavi
strategy,strateji
clearly,Açıkça
discuss,tartışmak
indeed,aslında
truth,gerçek
song,şarkı
example,örnek
democratic,demokratik
check,Kontrol
environment,çevre
leg,bacak
dark,karanlık
various,çeşitli
rather,yerine
laugh,kahkaha
guess,tahmin etmek
executive,yönetici
prove,kanıtlamak
hang,asmak
entire,bütün
rock,kaynak
forget,unutmak
claim,iddia
remove,kaldırmak
manager,müdür
enjoy,eğlence
network,ağ
legal,yasal
religious,din
cold,soğuk
final,son
main,ana
science,Bilim
green,Yeşil
memory,hafıza
card,kart
above,üstünde
seat,koltuk
cell,hücre
establish,kurmak
nice,Güzel
trial,Deneme
expert,uzman
spring,bahar
firm,firma
Democrat,Demokrat
radio,radyo
visit,ziyaret etmek
management,yönetmek
avoid,kaçınmak
imagine,hayal etmek
tonight,Bu gece
huge,Kocaman
ball,top
finish,bitiş
yourself,kendin
theory,teori
impact,darbe
respond,cevap vermek
statement,Beyan
maintain,sürdürmek
charge,şarj
popular,popüler
traditional,geleneksel
onto,üzerine
reveal,ortaya çıkartmak
direction,yön
weapon,silah
employee,çalışan
cultural,kültürel
contain,içermek
peace,Barış
pain,ağrı
apply,uygulamak
measure,ölçüm
wide,geniş
shake,sallamak
fly,uçmak
interview,röportaj yapmak
manage,üstesinden gelmek
chair,sandalye
fish,balık
particular,özel
camera,kamera
structure,yapı
politics,siyaset
perform,rol yapmak
bit,biraz
weight,ağırlık
suddenly,birden
discover,keşfetmek
candidate,aday
production,üretme
treat,davranmak
trip,seyahat
evening,akşam
affect,etkilemek
inside,içeri
conference,konferans
unit,birim
style,stil
adult,yetişkin
worry,endişe etmek
range,Aralık
mention,Anma
deep,derin
edge,kenar
specific,özel
writer,yazar
trouble,bela
necessary,gerekli
throughout,boyunca
challenge,meydan okumak
fear,korku
shoulder,omuz
institution,kurum
middle,orta
sea,deniz
dream,rüya
bar,çubuk
beautiful,güzel
property,Emlak
instead,yerine
improve,geliştirmek
stuff,şey
detail,detay
method,yöntem
somebody,biri
magazine,dergi
hotel,otel
soldier,asker
reflect,yansıtmak
heavy,ağır
sexual,cinsel
bag,sırt çantası
heat,sıcaklık
marriage,evlilik
tough,zorlu
sing,şarkı söyle
surface,yüzey
purpose,amaç
exist,mevcut
pattern,model
whom,kime
skin,deri
agent,ajan
owner,sahip
machine,makine
gas,gaz
ahead,ilerde
generation,nesil
commercial,reklam
address,adres
cancer,kanser
item,öğe
reality,gerçeklik
coach,koç
Mrs,Bayan
yard,avlu
beat,vurmak
violence,şiddet
total,Toplam
tend,Bakmak
investment,yatırım
discussion,tartışma
finger,parmak
garden,Bahçe
notice,fark etme
collection,Toplamak
modern,modern
task,görev
partner,ortak
positive,pozitif
civil,sivil
kitchen,mutfak
consumer,tüketici
shot,atış
budget,bütçe
wish,dilek
painting,tablo
scientist,Bilim insanı
safe,güvenli
agreement,anlaşma
capital,Başkent
mouth,ağız
nor,ne
victim,kurban
newspaper,gazete
threat,tehdit
responsibility,sorumluluk
smile,gülümsemek
attorney,avukat
score,Puan
account,hesap
interesting,ilginç
audience,kitle
rich,zengin
dinner,akşam yemeği
vote,oy
western,batılı
relate,ilgili olmak
travel,yolculuk
debate,çekişme
prevent,engel olmak
citizen,vatandaş
majority,çoğunluk
none,Yok
front,ön
born,doğmak
admit,Kabul et
senior,kıdemli
assume,farz etmek
wind,rüzgâr
key,anahtar
professional,profesyonel
mission,misyon
fast,hızlı
alone,yalnız
customer,müşteri
suffer,acı çekmek
speech,konuşma
successful,başarılı
option,seçenek
participant,katılımcı
southern,güney
fresh,taze
eventually,sonunda
forest,orman
video,video
global,küresel
Senate,Senato
reform,reform
access,erişim
restaurant,restoran
judge,hakim
publish,Yayınla
relation,ilişki
release,serbest bırakmak
bird,kuş
opinion,fikir
credit,kredi
critical,eleştirel
corner,köşe
concerned,endişeli
recall,hatırlamak
version,versiyon
stare,dik dik dikmek
safety,Emniyet
effective,etkili
neighborhood,komşu
original,orijinal
troop,birlik
income,Gelir
directly,direkt olarak
hurt,acıtmak
species,Türler
immediately,hemen
track,Izlemek
basic,temel
strike,vuruş
sky,gökyüzü
freedom,özgürlük
absolutely,kesinlikle
plane,uçak
nobody,hiç kimse
achieve,başarmak
object,nesne
attitude,davranış
labor,iş gücü
refer,bahsetmek
concept,kavram
client,müşteri
powerful,güçlü
perfect,mükemmel
nine,dokuz
therefore,öyleyse
conduct,yönetmek
announce,duyurmak
conversation,konuşma
examine,muayene etmek
touch,dokunmak
please,lütfen
attend,katılmak
completely,tamamen
variety,Çeşitlilik
sleep,uyumak
involved,dahil olmuş
investigation,soruşturma
nuclear,nükleer
researcher,araştırmacı
press,basmak
conflict,fikir ayrılığı
spirit,ruh
replace,yer değiştirmek
British,ingiliz
encourage,cesaretlendirmek
argument,argüman
camp,kamp
brain,beyin
feature,özellik
afternoon,öğleden sonra
AM,Ben
weekend,hafta sonu
dozen,düzine
possibility,olasılık
insurance,sigorta
department,Bölüm
battle,savaş
beginning,başlangıç
date,tarih
generally,genel olarak
African,Afrikalı
sorry,Üzgünüm
crisis,kriz
complete,tamamlamak
fan,fan
stick,sopa
define,tanımlamak
easily,kolayca
hole,delik
element,element
vision,görüş
status,durum
normal,normal
Chinese,Çince
ship,gemi
solution,çözüm
stone,taş
slowly,yavaş yavaş
scale,ölçek
university,Üniversite
introduce,takdim etmek
driver,şoför
attempt,teşebbüs
park,park
spot,leke
lack,eksiklik
ice,buz
boat,bot
drink,İçmek
sun,güneş
distance,mesafe
wood,Odun
handle,üstesinden gelmek
truck,kamyon
mountain,dağ
survey,anket